nombre,poblacion,superficie,continente
sri lanka,21919000,65610,asia
sudafrica,59308690,1219090,africa
sudan,43849260,1861484,africa
sudan del sur,11193725,619745,africa
suecia,10099265,450295,europa
suiza,8654622,41285,europa
surinam,586632,163820,america
tailandia,69799978,513120,asia
tanzania,59734218,945087,africa
tayikistan,9537645,143100,asia
timor oriental,1318445,14874,asia
togo,8278724,56785,africa
tonga,100651,747,oceania
trinidad y tobago,1399488,5130,america
tunez,11818619,163610,africa
turkmenistan,6031187,488100,asia
turquia,84339067,783562,asia
tuvalu,11792,26,oceania
ucrania,43733762,603550,europa
uganda,45741007,241550,africa
uruguay,3473730,176215,america
uzbekistan,34915100,447400,asia
vanuatu,307145,12189,oceania
venezuela,28435943,912050,america
vietnam,97338579,331212,asia
yemen,29825964,527968,asia
yibuti,988000,23200,africa
zambia,18383955,752618,africa
zimbabue,14862924,390757,africa
